feature,importance
Close,0.022836376
MACD_lag1,0.022643635
MACD_hist_lag1,0.021779992
RSI_14,0.021739732
RSI_14_lag1,0.02146679
High,0.021425838
MACD_lag3,0.021414813
ret_1d,0.021295208
ret_1d_lag3,0.020996278
MACD_hist_lag3,0.020888021
MACD_lag2,0.020864813
Low,0.020758692
Open,0.020398093
ATR_14_lag5,0.02019771
MACD,0.020094864
dist_SMA_50,0.019988319
MACD_signal_lag1,0.0199486
MACD_hist_lag2,0.019932743
BB_mavg,0.019894376
vol_10,0.019676335
RSI_14_lag5,0.01962923
RSI_14_lag3,0.01962718
MACD_signal_lag2,0.019345326
BB_percent_b,0.019320648
BB_percent_b_lag5,0.019245312
MACD_signal_lag3,0.019036442
RSI_14_lag2,0.01898501
ATR_14,0.01898317
EMA_26,0.018840529
dist_SMA_200,0.01878438
BB_percent_b_lag1,0.018745968
ATR_14_lag2,0.018719269
Volume,0.01869306
BB_low,0.018654963
SMA_50,0.018381517
ret_1d_lag1,0.018379243
MACD_signal_lag5,0.018358082
MACD_hist,0.018307837
MACD_signal,0.018286573
SMA_200,0.018198738
MACD_hist_lag5,0.018172126
ret_1d_lag2,0.018036438
ret_1d_lag5,0.017907789
MACD_lag5,0.017704012
ATR_14_lag3,0.017630253
BB_percent_b_lag2,0.017535167
EMA_12,0.017431585
BB_high,0.017415972
vol_20,0.017205836
ATR_14_lag1,0.017178416
BB_percent_b_lag3,0.016356587
sma_cross_up,0.012662147
